River Street , Clerkenwell
Waterloo Bridge, South Bank
Natural History Museum, South Kensington
Turquoise Island, Notting Hill
Stanhope Gate, Mayfair
Charlotte Street, Fitzrovia
Farm Street, Mayfair
Frith Street, Soho
Marloes Road, Kensington
Moor Street, Soho
Fire Brigade Pier, Vauxhall
Southampton Street, Strand
Upper Grosvenor Street, Mayfair
Buxton Street 1, Bangla Town
Clifford Street, Mayfair
Imperial College, Knightsbridge
Snow Hill, Farringdon
Aberdeen Place, St. John's Wood
Cadogan Gardens, Sloane Square
Shouldham Street, Marylebone
Devonshire Terrace, Bayswater
Holland Park, Kensington
Brick Lane Market, Shoreditch
George Street, Marylebone
Columbia Road, Weavers
Penfold Street, Marylebone
George Place Mews, Marylebone
Palace Gate, Kensington Gardens
Gloucester Road Station, South Kensington
Speakers' Corner 2, Hyde Park
Speakers' Corner 1, Hyde Park
Paddington Green Police Station, Paddington
Strata, Southwark
Edgware Road Station, Paddington
Walworth Road, Southwark
Cleaver Street, Kennington
Chelsea Bridge, Pimlico
Southwark Station 1, Southwark
Southwark Station 2, Southwark
Eaton Square (South), Belgravia
Ebury Bridge, Pimlico
Harrington Square 2, Camden Town
Vincent Street, Pimlico
Cheapside, Bank
Exhibition Road, South Kensington
South Parade, Chelsea
Crinan Street, King's Cross
Exhibition Road Museums, Knightsbridge
Wren Street, Holborn
Kennington Station, Kennington
Red Lion Street, Holborn
Vauxhall Walk, Vauxhall
Killick Street, Kings Cross
Kennington Oval, Oval
Sail Street, Vauxhall
Walmer Road, Notting Hill
Philpot Street, Whitechapel
Bethnal Green Gardens, Bethnal Green
Cheshire Street, Bethnal Green
York Hall, Bethnal Green
Jubilee Crescent, Cubitt Town
Fishermans Walk West, Canary Wharf
Shadwell Station, Shadwell
Jubilee Street, Stepney
Hermitage Court, Wapping
St Katharines Way, Tower
Garnet Street, Shadwell
Napier Avenue, Millwall
East Ferry Road, Cubitt Town
Parkway, Camden Town
Castlehaven Road, Camden Town
Wapping Lane, Wapping
Gun Makers Lane, Old Ford
Burdett Road, Mile End
Aston Street, Stepney
Bonny Street, Camden Town
Thurtle Road, Haggerston
St. Mary and St. Michael Church, Stepney
Pitfield Street (North),Hoxton
Whiston Road, Haggerston
Southern Grove, Bow
Cantrell Road, Bow
Lindfield Street, Poplar
Mostyn Grove, Bow
Hewison Street, Old Ford
Malmesbury Road, Bow
Millharbour, Millwall
Castalia Square, Cubitt Town
Lightermans Road, Millwall
Stebondale Street, Cubitt Town
Spindrift Avenue, Millwall
Stepney Green Station, Stepney
Pott Street, Bethnal Green
Flamborough Street, Limehouse
Saunders Ness Road, Cubitt Town
Thornfield House, Poplar
Albert Gardens, Stepney
Bromley High Street, Bromley
Old Ford Road, Bethnal Green
Granby Street, Shoreditch
Canton Street, Poplar
Reardon Street, Wapping
Christian Street, Whitechapel
Pennington Street, Wapping
Queen Marys, Mile End
The Green Bridge, Mile End
South Quay East, Canary Wharf
Bow Church Station, Bow
Devons Road, Bow
Coborn Street, Mile End
Bow Road Station, Bow
Furze Green, Bow
Sidney Street, Stepney
Cephas Street, Bethnal Green
South Quay West, Canary Wharf
Cleveland Way, Bethnal Green
St John's Park, Cubitt Town
Ackroyd Drive, Bow
Bell Lane, Liverpool Street
Clarkson Street, Bethnal Green
Fournier Street, Whitechapel
Fore Street, Guildhall
Westferry DLR, Limehouse
Sutton Street, Shadwell
Pritchard's Road, Bethnal Green
